,id,id_number,age,gender,education,status,start years,year_experience,crops,size_rai, yield (kg/rai) , yield (ton) , mkt_price (THB/ton) ,soil_quality,annual_income, cost (THB/ton) ,annual_expense,profit_loss,existing_loan, Saving/year ,loan_status,issue_date,addr_subdist,addr_district,addr_province,zip_code,temp_1,temp_2,temp_3,temp_4,temp_5,temp_6,temp_7,temp_8,temp_9,temp_10,temp_11,temp_12,rain_1,rain_2,rain_3,rain_4,rain_5,rain_6,rain_7,rain_8,rain_9,rain_10,rain_11,rain_12,credit_score,credit_utilization,credit_inquiry
1,8.1E+12,3006,56,Female,Primary School,Married,31,25,palm oil,54,"3,479.84",187.91,"6,961.77",S1,"1,308,196.42","3,109.00","584,216.42","723,980.00","586,964.00","129,178.00",Fully Paid,28/10/2023,????????????,???????,??????,81110,33.6,31.4,22.8,18.3,22.4,31.8,33.3,32,23.7,34.5,16.9,17.4,90.9,143.4,118.8,74.9,181.6,69.3,128.9,69.9,82.7,65.6,120.4,129.4,,,
2,8.1E+12,2675,64,Male,Primary School,Never Married,26,38,palm oil,41,"3,279.08",134.44,"7,087.15",N,"952,812.20","3,095.00","416,098.86","536,713.34","589,881.00","254,120.00",Fully Paid,17/01/2024,?????,?????,??????,81190,31,17.9,25.2,28.4,33.4,16.9,19.9,24.6,34.5,22.8,18.3,29.6,106.9,66.7,172.6,132.9,143.6,58.4,173.7,55.6,121.1,154.7,73.6,193.9,,,
3,8.1E+12,11650,51,Male,Primary School,Married,25,26,palm oil,51,"3,412.92",174.06,"7,230.52",S2,"1,258,535.81","3,125.00","543,934.13","714,601.68","641,400.00","193,053.00",Fully Paid,13/01/2024,??????,???????,??????,81110,29.2,32.9,17.6,28.8,15.4,17.2,23.3,31.9,26.1,15.9,15.6,18.9,106.1,118.8,165.4,112.1,52.6,185.8,118.8,199,150.1,117.2,86.2,77.4,,,
4,8.1E+12,12072,40,Male,Primary School,Never Married,29,11,palm oil,52,"3,212.16",167.03,"5,940.57",N,"992,267.86","3,168.00","529,158.39","463,109.47","616,795.00","299,042.00",Fully Paid,15/02/2024,????????????,???????,??????,81110,22.3,23.9,22.2,19,26.1,22.3,19.5,26,31.1,29.5,31.5,17.5,162.3,98.4,151.7,72.7,106.7,70.2,119.8,91.2,79.3,192.3,190,88.9,,,
5,8.1E+12,3361,41,Male,Primary School,Married,25,16,palm oil,30,"3,546.76",106.4,"5,063.73",S1,"538,795.05","3,182.00","338,573.71","200,221.34","586,267.00","121,652.00",Current,26/09/2023,???????????,???????,??????,81110,28.6,24.6,33.8,31.2,25.1,28.9,27.9,34.8,30.4,21.2,31,34.1,85.7,97.5,98,74.3,196.8,177.5,124.1,192.8,159.8,186.6,157.2,68.1,,,
6,7.1E+12,14146,25,Male,Primary School,Married,22,3,cassava,72,"3,114.00",224.21,"2,229.03",S3,"499,766.36","1,858.00","416,578.46","83,187.89","393,482.00","136,772.00",Fully Paid,26/03/2024,??????????,?????????,?????????,71180,23.8,19.6,20.9,22.8,32,24.4,15.5,18,18.7,15.9,16.3,23,50.7,76.2,189.4,95.8,131.8,63.8,121.6,166.9,175.5,64.8,191.9,190.7,,,
7,7.1E+12,192,57,Male,Bachelor Degree,Married,25,32,corn,81,722,58.48,"8,613.31",S3,"503,723.83","5,512.68","322,392.61","181,331.22","405,437.00","159,261.00",Fully Paid,07/01/2023,?????????,??????????,?????????,71250,19.7,18.7,21.3,24.4,15.3,17.9,16.5,31.4,25.1,29.7,35,20.6,90.5,152.1,174.2,198.6,152.1,157.4,141.6,149.1,124.3,148.7,89.9,75.7,,,
8,7.1E+12,187,61,Male,Secondary School,Divorced,23,38,rice,105.49,604.49,63.77,"8,945.32",N,"570,407.63","7,474.89","476,644.23","93,763.40","308,611.00","133,280.00",Fully Paid,04/02/2024,???????,???????,?????????,71110,32.3,26,31.1,16.2,26.9,20.5,19.7,23.2,26.1,27,17.5,24.9,132.3,106,121.4,124.1,140.8,89,174.3,82.1,146.2,79.3,176.9,125.4,,,
9,7.1E+12,186,75,Male,Secondary School,Married,26,49,rice,128,604.49,77.37,"4,324.16",N,"334,580.65","12,032.10","930,979.67","-596,399.02","283,093.00","145,315.00",Charged Off,14/02/2023,???????,???????,?????????,71120,15.7,15.1,16.1,18.1,32.2,22.7,24.9,34,21,30.1,30.9,16.9,151.7,99.2,89.9,191.5,196.2,152.8,135.6,127.9,84.3,160.3,132.2,162.2,,,
10,7.1E+12,13358,76,Male,Secondary School,Married,25,51,rice,64,604.49,38.69,"9,223.09",N,"356,816.66","7,483.65","289,522.48","67,294.18","330,965.00","132,984.00",Current,30/03/2024,????????,??????,?????????,71150,27.9,15,27,21.8,30.8,19.7,15.9,29.1,16.3,15.1,15.9,16,138.8,84.4,185.1,112.2,120.7,131.9,80,189.9,112,105,153,152.5,,,
